year,month,gainer,gaintype,procedur,entity,contgain,area,pop,portion,loser,losetype,contlose,entry,exit,number,indep,conflict,version
1890,6,200,0,2,511,0,2642.00,150000,1,511,1,-9,0,0,324,0,0,5
1890,7,200,0,3,501,0,3120.00,.,0,255,0,0,0,0,325,0,0,5
1890,.,200,0,2,572,0,17363.00,55000,1,572,1,-9,0,0,326,0,0,5
1890,.,200,1,3,761,0,7298.00,30458,1,761,0,-9,0,0,327,0,0,5
1890,.,235,0,2,540,0,468000.00,.,0,-9,1,-9,0,0,328,0,0,5
1890,7,255,1,3,2249,1,2.00,2001,1,200,0,0,0,0,329,0,0,5
1890,.,255,0,3,565,0,18200.00,.,0,200,0,0,0,0,330,0,0,5
1890,.,255,0,2,510,0,130000.00,.,0,-9,1,-9,0,0,331,0,0,5
1891,.,200,0,2,551,0,624107.00,650000,1,-9,1,-9,0,0,332,0,0,5
1891,5,211,0,3,540,0,1.00,.,0,235,0,0,0,0,333,0,0,5
1891,5,235,0,3,490,0,1.00,.,0,211,0,0,0,0,334,0,0,5
1892,.,200,0,2,945,0,956.00,37400,1,-9,1,-9,0,0,335,0,0,5
1892,3,200,0,3,696,0,92100.00,.,1,696,1,-9,0,0,336,0,0,5
1892,.,325,0,3,520,0,10000.00,.,0,200,0,0,0,0,337,0,0,5
1893,11,200,0,3,700,0,104980.00,.,0,700,1,1,0,0,338,0,0,5
1893,.,200,0,2,940,0,21645.00,.,0,-9,1,-9,0,0,339,0,0,5
1893,7,200,0,1,552,0,389362.00,609157,1,-9,1,-9,0,0,340,0,1,5
1893,.,220,0,1,430,0,842400.00,.,0,-9,1,-9,0,0,341,0,1,5
1893,12,220,0,1,812,0,255000.00,600000,1,812,1,-9,0,0,342,0,1,5
1893,1,220,0,2,9970,0,6931.00,0,0,-9,1,-9,0,0,343,0,0,5
1893,11,563,1,3,572,1,17363.00,55000,1,200,0,0,0,0,344,0,0,5
1894,6,200,0,2,500,0,64999.00,.,0,-9,1,-9,0,0,345,0,0,5
1894,9,200,0,2,560,0,10464.00,166080,0,-9,1,-9,0,0,346,0,0,5
1894,8,220,0,3,490,0,1.00,.,0,211,0,0,0,0,347,0,0,5
1894,12,220,0,1,434,0,115760.00,600000,0,-9,1,-9,0,0,348,0,1,5
1894,.,220,0,3,482,0,622984.00,.,1,-9,1,-9,0,0,349,0,0,5
1894,7,325,0,1,625,0,1.00,.,0,-9,1,-9,0,0,350,0,1,5
1895,.,140,1,3,150,1,13000.00,.,0,150,1,1,0,0,351,0,0,5
1895,6,200,0,2,560,0,1560.00,.,0,-9,1,-9,0,0,352,0,0,5
1895,3,365,1,3,711,1,26000.00,.,0,700,1,1,0,0,353,0,0,5
1895,4,740,1,1,713,1,35763.00,2781272,1,710,1,1,0,0,354,0,0,5
1896,8,200,0,1,452,0,100000.00,317964,0,-9,1,-9,0,0,355,0,1,5
1896,6,200,0,2,500,0,19685.00,.,0,-9,1,-9,0,0,356,0,0,5
1896,8,200,0,1,452,0,24484.00,.,0,-9,1,-9,0,0,357,0,1,5
1896,8,200,0,2,451,0,71939.00,1000000,0,-9,1,-9,0,0,358,0,0,5
1896,12,220,0,1,580,0,590000.00,3500000,1,580,1,-9,0,0,359,0,1,5
1897,.,70,1,1,960,0,5.00,0,0,220,0,0,0,0,360,0,0,5
1897,12,200,0,3,625,0,1.00,.,0,325,0,0,0,0,361,0,0,5
1897,.,200,0,3,530,0,20720.00,.,0,530,1,1,0,0,362,0,0,5
1897,.,200,0,2,452,0,98080.00,.,0,-9,1,-9,0,0,363,0,0,5
1897,5,640,1,3,350,1,1.00,200,0,350,1,1,0,0,364,0,1,5
1898,7,2,0,2,9720,0,8.00,.,1,-9,1,-9,0,0,365,0,0,5
1898,8,2,0,2,4,0,16638.00,109020,1,4,1,-9,0,0,366,0,0,5
1898,12,2,0,3,985,0,541.00,9000,1,230,0,0,0,0,367,0,1,5
1898,12,2,0,3,840,0,299404.00,7000000,1,230,0,0,0,0,368,0,1,5
1898,12,2,0,3,6,0,8860.00,953243,1,230,0,0,0,0,369,0,1,5
1898,12,2,0,3,40,1,114525.00,1572797,1,230,0,0,0,0,370,0,1,5
1898,3,200,0,3,710,0,738.00,150000,0,710,1,1,0,0,371,0,0,5
1898,6,200,0,3,475,0,71500.00,.,0,220,0,0,0,0,372,0,0,5
1898,6,200,0,3,720,0,953.00,100000,0,710,1,1,0,0,373,0,0,5
1898,.,200,0,2,940,0,71728.00,.,0,-9,1,-9,0,0,374,0,0,5
1898,6,220,0,3,430,0,13000.00,.,0,200,0,0,0,0,375,0,0,5
1898,3,365,1,3,710,0,3170.00,250000,0,710,1,1,0,0,376,0,0,5
1898,11,200,0,1,351,0,8614.00,294190,1,640,1,0,0,0,377,0,1,5
1899,12,2,0,3,991,0,195.00,4000,0,990,1,1,0,0,378,0,0,5
1899,10,101,1,3,110,1,1.00,.,0,200,0,0,0,0,380,0,0,5
1899,11,200,0,3,460,0,1.00,.,0,255,0,0,0,0,381,0,0,5
1899,11,200,0,3,940,0,23310.00,89000,0,255,0,0,0,0,382,0,0,5
1899,10,200,0,3,101,0,155400.00,.,0,101,1,1,0,0,383,0,0,5
1899,1,200,0,2,690,0,15540.00,50000,1,690,1,-9,0,0,384,0,0,5
1899,12,200,0,1,625,0,2505823.00,2000000,1,625,1,-9,0,0,385,0,1,5
1899,12,220,0,1,430,0,2394466.00,.,0,-9,1,-9,0,0,386,0,1,5
1899,11,255,0,3,452,0,1.00,.,0,200,0,0,0,0,387,0,0,5
1899,12,255,0,3,980,0,405.00,15069,0,230,0,0,0,0,388,0,0,5
1899,12,255,0,3,990,0,2823.00,33000,0,990,1,1,0,0,389,0,0,5
1900,12,200,0,2,955,0,700.00,26000,1,955,1,-9,0,0,391,0,0,5
1900,8,365,1,1,711,1,939280.00,5530000,1,710,1,1,0,0,392,0,0,5
1902,5,40,1,-9,40,-9,114525.00,1572797,1,2,0,1,1,0,393,1,0,5
1902,.,155,1,3,160,1,27708.00,.,0,160,1,1,0,0,394,0,0,5
1902,.,160,1,3,155,1,20470.00,.,0,155,1,1,0,0,395,0,0,5
1902,5,200,0,3,530,0,292500.00,.,0,530,1,1,0,0,396,0,0,5
1902,5,200,0,1,563,0,286065.00,1000000,1,563,1,-9,0,0,397,0,1,5
1902,5,200,0,1,564,0,129153.00,200000,1,564,1,-9,0,0,398,0,1,5
1903,10,2,1,3,20,1,1.00,.,0,200,0,0,0,0,399,0,0,5
1903,11,2,0,3,96,0,1678.00,21650,1,95,1,1,0,0,400,0,0,5
1903,11,95,1,4,95,-9,75690.00,400000,1,100,0,1,1,0,401,1,1,5
1903,11,140,1,3,145,1,191000.00,70000,0,145,1,1,0,0,402,0,0,5
1903,.,145,1,3,140,1,3108.00,.,0,140,1,1,0,0,403,0,0,5
1903,3,200,0,1,4784,0,668220.00,10000000,1,-9,1,-9,0,0,404,0,1,5
1903,.,220,0,1,600,0,499870.00,62000,0,600,1,1,0,0,405,0,1,5
1904,5,140,1,3,130,1,67600.00,.,0,130,1,1,0,0,406,0,0,5
1904,4,220,0,3,433,0,1.00,.,0,200,0,0,0,0,407,0,0,5
1904,4,220,0,3,430,0,1.00,.,0,200,0,0,0,0,408,0,0,5
1904,2,220,0,3,800,0,20720.00,.,0,800,1,1,0,0,409,0,0,5
1904,.,220,0,3,438,0,16.00,.,0,200,0,0,0,0,410,0,0,5
1904,2,800,1,3,810,1,6076.00,.,0,220,0,0,0,0,411,0,0,5
1905,10,385,1,4,385,-9,323917.00,2240032,1,380,0,1,1,0,412,1,0,5
1905,8,710,1,3,711,1,939280.00,5530000,1,365,1,1,0,0,413,0,1,5
1905,9,740,0,3,710,0,3253.00,405680,0,365,0,1,0,0,414,0,0,5
1905,9,740,1,3,7351,1,32348.00,9824,0,365,1,1,0,0,415,0,1,5
1905,8,740,0,1,730,1,220891.00,5713244,1,730,1,-9,0,1,416,0,0,5
1906,5,200,0,3,666,0,1.00,.,0,640,1,1,0,0,417,0,0,5
1906,5,211,0,3,625,0,38850.00,250000,0,200,0,0,0,0,418,0,0,5
1907,4,140,1,3,100,1,162500.00,.,0,100,1,1,0,0,419,0,0,5
1907,.,140,1,3,145,1,65000.00,.,0,145,1,1,0,0,420,0,0,5
1907,12,210,0,1,850,0,53020.00,582175,0,-9,1,-9,0,0,421,0,1,5
1907,8,220,0,1,600,0,100.00,.,0,600,1,1,0,0,422,0,0,5
1907,3,220,0,3,800,0,18130.00,.,0,800,1,1,0,0,423,0,0,5
1907,3,800,1,3,810,1,35641.00,.,0,220,0,0,0,0,424,0,0,5
1908,2,355,1,4,355,-9,96345.00,4035575,1,640,0,1,1,0,425,1,0,5
1909,.,135,1,3,145,1,26000.00,.,0,145,1,1,0,0,426,0,0,5
1909,3,200,0,3,822,0,38195.00,450000,0,800,1,1,0,0,427,0,0,5
1909,1,220,0,1,435,0,893700.00,223000,0,-9,1,-9,0,0,428,0,1,5
1910,6,200,0,3,490,0,38850.00,250000,0,211,0,0,0,0,429,0,0,5
1910,1,200,0,3,760,0,46600.00,250000,1,760,1,-9,0,0,430,0,0,5
1910,5,211,0,3,500,0,1.00,.,0,200,0,0,0,0,431,0,0,5
1910,3,600,1,3,600,1,100.00,.,0,220,0,0,0,0,432,0,0,5
1911,.,200,0,3,450,0,800.00,.,0,450,1,1,0,0,433,0,0,5
1911,.,220,0,1,483,0,76534.00,.,0,-9,1,-9,0,0,434,0,1,5
1911,11,255,0,3,470,0,259000.00,1000000,0,220,0,0,0,0,435,0,0,5
1911,.,450,1,3,451,1,800.00,.,0,200,0,0,0,0,436,0,0,5
1912,3,220,0,2,600,0,398523.00,5400000,0,600,1,-9,0,0,437,0,0,5
1912,11,230,0,2,602,1,26000.00,600000,1,600,1,1,0,0,438,0,0,5
1912,5,325,0,1,3353,0,2681.00,100198,0,640,1,0,0,0,439,0,1,5
1912,3,325,0,1,620,0,1051539.00,523176,1,640,1,0,0,0,440,0,1,5
1912,11,339,1,4,339,-9,28748.00,825000,1,640,0,1,1,0,441,1,0,5
1913,8,345,1,3,355,1,27625.00,1000000,0,355,1,1,0,0,442,0,1,5
1913,5,345,1,3,640,1,7020.00,.,0,640,1,1,0,0,443,0,1,5
1913,5,341,1,3,640,1,5200.00,.,0,640,1,1,0,0,444,0,1,5
1913,8,350,1,3,355,1,19110.00,1703000,0,355,1,1,0,0,445,0,1,5
1913,12,350,1,3,640,1,3771.00,3000000,0,640,1,1,0,0,446,0,0,5
1913,12,350,1,2,351,1,8715.00,342151,1,200,0,-9,0,0,447,0,0,5
1913,5,350,1,3,640,1,24354.00,1500000,0,640,1,1,0,0,448,0,1,5
1913,5,355,1,3,640,1,68250.00,.,0,640,1,1,0,0,449,0,1,5
1913,5,360,1,3,355,1,6959.00,286000,0,355,1,1,0,0,450,0,1,5
1913,.,670,1,1,673,1,107120.00,.,1,640,1,1,0,0,451,0,0,5
1914,5,200,0,2,822,0,18985.00,180412,0,822,1,-9,0,0,452,0,0,5
1914,10,325,1,1,339,1,5.00,.,0,339,1,1,0,0,453,0,0,5
1914,4,339,1,3,350,1,1.00,.,0,350,1,1,0,0,454,0,0,5
1914,.,672,1,4,672,-9,104338.00,.,1,640,0,1,-9,0,455,1,1,5
1914,11,740,0,3,710,0,518.00,168900,0,255,0,0,0,0,456,0,1,5
1915,.,200,0,2,678,0,182.00,.,0,678,1,1,0,0,457,0,0,5
1915,.,694,1,4,694,-9,11000.00,.,1,640,0,0,-9,0,458,1,0,5
1916,6,2,0,3,93,0,10.00,.,0,93,1,1,0,0,459,0,0,5
1916,11,200,0,2,694,0,22014.00,25000,1,694,1,-9,0,0,460,0,0,5
1916,.,230,0,3,602,0,33020.00,9836,0,220,0,0,0,0,461,0,0,5
1917,12,2,0,3,5,0,342.00,26051,1,390,0,0,0,0,462,0,0,5
1917,12,375,1,4,375,-9,325534.00,3105000,1,365,0,1,1,0,463,1,0,5
1918,11,290,1,4,290,-9,263180.00,15400000,0,365,0,1,1,0,464,1,1,5
1918,10,315,1,3,315,-9,140968.00,13600000,1,305,0,1,1,0,465,1,1,5
1918,12,366,1,4,366,-9,59984.00,1107000,1,365,0,1,1,0,466,1,1,5
1918,1,367,1,4,367,-9,63300.00,1596000,1,365,0,1,1,0,467,1,1,5
1918,12,368,1,4,368,-9,154491.00,2029000,1,365,0,1,1,0,468,1,0,5
1918,1,369,1,4,369,-9,444595.00,.,1,365,0,1,-9,0,469,1,1,5
1918,4,371,1,4,371,-9,31057.00,1214391,1,365,0,0,-9,0,470,1,1,5
1918,4,372,1,4,372,-9,66976.00,2372403,1,365,0,1,-9,0,471,1,1,5
1918,4,373,1,4,373,-9,84984.00,2096973,1,365,0,1,-9,0,472,1,1,5
1918,10,678,1,4,678,-9,195000.00,1000000,1,640,0,0,1,0,473,1,0,5
1919,5,200,0,6,462,0,32634.00,188000,1,255,0,0,0,0,474,0,0,5
1919,5,200,0,6,472,0,80290.00,550000,1,255,0,0,0,0,475,0,0,5
1919,6,211,1,3,255,1,1000.00,61000,0,255,1,1,0,0,476,0,1,5
1919,6,212,1,3,255,1,3.00,.,0,255,1,1,0,0,477,0,0,5
1919,5,220,0,6,461,0,56600.00,500000,1,255,0,0,0,0,478,0,0,5
1919,5,220,0,6,471,0,432012.00,1500000,1,255,0,0,0,0,479,0,0,5
1919,6,220,0,3,480,0,259000.00,.,0,255,0,0,0,0,480,0,1,5
1919,6,220,0,3,256,1,1945.00,657870,1,255,1,1,0,0,481,0,1,5
1919,6,220,1,3,255,1,14514.00,1874014,0,255,1,1,0,0,482,0,1,5
1919,9,235,0,3,541,0,1040.00,.,0,255,0,0,0,0,483,0,1,5
1919,6,290,1,3,255,1,420000.00,2700000,0,255,1,1,0,0,484,0,1,5
1919,9,290,1,3,300,1,80080.00,8257505,0,305,1,1,0,0,485,0,1,5
1919,6,291,1,3,291,-9,2056.00,330252,1,255,0,1,-9,0,486,1,1,5
1919,9,310,1,3,310,-9,91075.00,7990000,1,305,0,1,1,0,487,1,1,5
1919,9,325,0,3,616,1,1.00,.,0,220,0,0,0,0,488,0,0,5
1919,9,325,1,3,326,1,96.00,229510,1,305,1,0,0,0,489,0,1,5
1919,9,325,1,3,305,1,18941.00,1178786,0,305,1,1,0,0,490,0,1,5
1919,11,345,1,3,355,1,2500.00,112500,0,355,1,1,0,0,491,0,1,5
1919,9,345,1,3,300,1,53636.00,1931802,0,305,1,1,0,0,492,0,1,5
1919,11,350,1,3,355,1,6400.00,320000,0,355,1,1,0,0,493,0,1,5
1919,5,560,0,6,565,1,822907.00,206000,1,255,0,0,0,0,494,0,0,5
1919,7,900,0,6,970,0,21.00,2120,1,255,0,0,0,0,495,0,0,5
1920,12,20,1,-9,20,-9,9571661.00,9235000,1,200,0,0,1,0,496,1,0,5
1920,12,21,1,-9,21,-9,421481.00,265000,1,200,0,0,-9,0,497,1,0,5
1920,3,200,0,6,666,0,23310.00,757182,1,640,1,0,0,0,498,0,0,5
1920,3,200,0,6,663,0,89484.00,200000,1,640,1,0,0,0,499,0,0,5
1920,4,200,0,6,645,0,280031.00,2849282,1,640,1,1,0,0,500,0,0,5
1920,1,200,0,6,510,0,939361.00,5000000,1,255,0,0,0,0,501,0,0,5
1920,4,220,0,6,652,0,184920.00,1969004,1,640,1,1,0,0,502,0,0,5
1920,7,290,1,3,315,1,1009.00,145241,0,315,1,1,0,0,503,0,0,5
1920,10,290,1,3,368,1,29818.00,2075700,0,368,1,1,0,0,504,0,1,5
1920,10,305,1,3,345,1,5055.00,392431,0,345,1,1,0,0,505,0,0,5
1920,7,315,1,3,290,1,528.00,113500,0,290,1,1,0,0,506,0,0,5
1920,6,315,1,3,310,1,53320.00,2940374,0,310,1,1,0,0,507,0,1,5
1920,11,325,1,3,326,1,5271.00,404309,0,345,1,1,0,0,508,0,0,5
1920,11,345,1,3,326,1,1.00,1000,0,325,1,1,0,0,509,0,0,5
1920,6,345,1,3,310,1,71540.00,4095258,0,310,1,1,0,0,510,0,1,5
1918,3,360,1,3,360,1,45632.00,2686600,0,365,1,1,0,0,511,0,1,5
1920,6,360,1,3,310,1,108289.00,5200000,0,310,1,1,0,0,512,0,1,5
1920,11,365,1,1,371,0,31057.00,1214391,1,371,1,-9,0,0,513,0,1,5
1920,4,365,1,1,373,1,84984.00,2096973,1,373,1,-9,0,0,514,0,1,5
1920,2,365,1,1,372,1,66976.00,2372403,1,372,1,-9,0,0,515,0,1,5
1920,12,365,1,1,369,1,444595.00,.,1,369,1,-9,0,0,516,0,1,5
1920,2,390,1,3,255,1,3800.00,160000,0,255,1,1,0,0,517,0,0,5
1920,12,560,1,-9,560,-9,1223409.00,6930727,1,200,0,0,1,0,519,1,0,5
1920,8,671,1,4,671,-9,259000.00,750000,1,640,0,0,-9,0,520,1,1,5
1920,12,740,0,6,980,0,2476.00,70500,1,255,0,0,0,0,522,0,0,5
1920,12,900,0,6,912,0,240870.00,400000,1,255,0,0,0,0,524,0,0,5
1920,12,900,1,-9,900,-9,7695094.00,5426008,1,200,0,0,1,0,525,1,0,5
1920,12,920,0,6,990,0,2823.00,41828,1,255,0,0,0,0,526,0,0,5
1920,12,920,1,-9,920,-9,268676.00,1268046,1,200,0,0,1,0,527,1,0,5
1921,8,94,1,2,95,1,1.00,100,0,95,1,1,0,0,528,0,0,5
1921,3,290,1,3,365,1,113722.00,3683568,0,365,1,1,0,0,530,0,1,5
1921,12,310,1,3,305,1,225.00,39525,0,305,1,1,0,0,531,0,0,5
1921,3,365,1,3,640,1,6975.00,186000,0,640,1,1,0,0,532,0,0,5
1921,6,375,1,3,380,1,1422.00,27123,0,380,1,1,0,0,533,0,0,5
1921,7,712,1,4,712,-9,1531000.00,2400000,1,710,0,1,1,0,534,1,1,5
1922,5,2,0,2,9760,0,0.00,0,1,-9,1,-9,0,0,535,0,0,5
1922,3,100,1,3,101,1,1.00,100,0,101,1,1,0,0,536,0,0,5
1922,12,205,1,-9,205,-9,68891.00,3165000,1,200,0,1,1,0,537,1,1,5
1922,8,255,1,3,255,1,9702.00,1299127,0,290,1,1,0,0,538,0,0,5
1922,8,290,1,3,255,1,3221.00,893074,0,255,1,1,0,0,539,0,0,5
1922,2,651,1,-9,651,-9,994300.00,12800000,1,200,0,0,1,0,540,1,0,5
1922,2,710,1,3,710,1,552.00,192000,0,740,1,0,0,0,541,0,0,5
1923,2,368,1,2,368,1,2846.00,151960,0,0,-9,-9,0,0,542,0,0,5
1924,10,211,0,6,515,0,54222.00,3000000,1,255,0,0,0,0,543,0,0,5
1924,1,325,1,3,345,1,17.00,49806,0,345,1,1,0,0,544,0,0,5
1924,7,325,0,3,501,0,85470.00,12000,0,200,0,0,0,0,545,0,0,5
1924,1,345,1,3,325,1,1.00,.,0,325,1,1,0,0,546,0,0,5
1924,2,0,-9,3,601,-9,363.00,50000,1,220,0,0,0,0,547,0,0,5
1925,12,325,0,3,651,0,400.00,.,0,651,1,1,0,0,548,0,0,5
1925,12,651,1,3,620,1,1.00,.,0,325,0,0,0,0,549,0,0,5
1926,6,200,0,3,645,0,91009.00,703378,0,640,1,1,0,0,550,0,0,5
1926,2,920,0,3,9201,0,6.00,1033,1,200,0,0,0,0,551,0,0,5
1927,7,211,0,3,540,0,3.00,.,0,235,0,0,0,0,552,0,0,5
1927,7,235,0,3,490,0,3500.00,.,0,211,0,0,0,0,553,0,0,5
1928,4,210,0,3,850,0,1.00,.,0,2,0,0,0,0,555,0,0,5
1928,1,385,0,3,9993,0,48.00,0,1,200,0,0,0,0,556,0,0,5
1929,6,135,1,3,155,1,8498.00,30000,0,155,1,1,0,0,557,0,0,5
1929,2,328,1,-9,328,-9,0.00,639,1,325,0,1,-9,0,558,1,0,5
1930,10,710,1,3,710,1,738.00,154416,0,200,0,0,0,0,559,0,0,5
1932,.,220,0,3,960,0,5.00,0,0,70,1,0,0,0,560,0,0,5
1932,10,645,1,-9,645,-9,301994.00,3560456,1,200,0,0,1,0,561,1,0,5
1932,1,740,1,1,711,0,1304292.00,32900000,1,710,1,1,0,0,562,0,1,5
1933,12,200,0,3,21,0,404519.00,289516,1,21,1,-9,0,0,563,0,0,5
1933,5,740,1,1,710,0,173960.00,2963027,0,710,1,1,0,0,564,0,1,5
1934,12,100,1,3,135,1,113882.00,40000,0,135,1,1,0,0,565,0,0,5
1934,.,325,0,3,625,0,1.00,.,0,220,0,0,0,0,566,0,0,5
1934,6,670,1,3,678,1,1.00,50,0,678,1,1,0,0,567,0,1,5
1935,10,150,1,1,145,1,233100.00,35000,0,145,1,1,0,0,568,0,0,5
1935,3,255,1,5,256,1,1912.00,812030,1,220,0,1,0,0,569,0,0,5
1935,1,325,0,3,522,0,800.00,.,0,220,0,0,0,0,570,0,0,5
1936,5,325,0,1,530,0,906499.00,7000000,1,530,1,-9,0,0,571,0,1,5
1937,7,740,1,1,710,0,1500000.00,.,0,710,1,1,0,0,572,0,1,5
1938,3,255,1,2,305,1,83869.00,6760000,1,305,1,-9,0,0,573,0,0,5
1938,9,255,1,3,315,1,28674.00,3653292,0,315,1,1,0,0,574,0,0,5
1938,10,290,1,2,315,1,1085.00,241698,0,315,1,1,0,0,575,0,0,5
1938,11,310,1,3,317,1,11826.00,1027450,0,315,1,1,0,0,576,0,0,5
1939,3,255,1,2,315,1,98909.00,9807096,1,315,1,-9,0,0,577,0,0,5
1939,3,255,1,2,368,1,2846.00,152660,0,368,1,1,0,0,578,0,0,5
1939,3,310,1,1,315,1,11094.00,522124,0,315,1,1,0,0,579,0,0,5
1939,3,317,1,4,317,-9,38456.00,2450096,1,315,0,1,-9,0,580,1,0,5
1939,4,325,1,1,339,1,28748.00,1003124,1,339,1,-9,0,0,581,0,1,5
1939,10,368,1,3,290,1,6656.00,457500,0,365,1,1,0,0,582,0,0,5
1939,6,640,1,3,652,1,5312.00,273350,0,220,0,0,0,0,583,0,0,5
1940,6,355,1,3,360,1,7421.00,.,0,360,1,1,0,0,584,0,0,5
1940,7,365,1,1,366,1,47549.00,1126000,1,366,1,-9,0,1,585,0,0,5
1940,7,365,1,1,367,1,65773.00,1950000,1,367,1,-9,0,1,586,0,0,5
1940,7,365,1,1,368,1,59464.00,2879070,1,368,1,-9,0,1,587,0,0,5
1941,4,530,1,3,530,-9,906499.00,15000000,1,325,0,0,1,0,588,1,1,5
1942,1,135,1,3,130,1,190807.00,31000,0,130,1,1,0,0,589,0,1,5
1944,7,395,1,4,395,-9,103000.00,132000,1,390,0,0,1,0,590,1,0,5
1945,9,2,0,3,741,0,2354.00,869287,1,740,1,1,0,0,591,0,1,5
1945,4,315,1,3,315,-9,127860.00,12900000,1,255,0,1,-9,0,593,1,1,5
1945,4,315,1,3,315,1,22922.00,1000000,0,310,1,1,-9,0,594,0,1,5
1945,4,315,1,2,317,1,38456.00,2450096,1,317,1,-9,-9,0,595,0,0,5
1944,11,339,1,3,339,-9,28748.00,1132000,1,325,0,1,-9,0,596,1,1,5
1945,4,365,1,3,255,1,13000.00,.,0,255,1,1,0,0,597,0,1,5
1945,2,365,1,3,290,1,179460.00,.,0,290,1,1,0,0,598,0,0,5
1945,6,365,1,3,315,1,7000.00,.,0,315,1,1,0,0,599,0,0,5
1945,9,365,1,3,740,1,41063.00,339357,0,740,1,1,0,0,600,0,1,5
1945,9,710,1,3,713,1,35763.00,6084000,1,740,0,1,0,0,601,0,1,5
1945,9,710,1,3,710,1,1500000.00,.,0,740,1,0,0,0,602,0,1,5
1945,4,1,-9,3,305,-9,83869.00,6952744,1,255,1,1,0,1,603,0,1,5
1945,9,1,-9,3,730,-9,220891.00,25100000,1,740,0,1,0,0,604,0,1,5
1945,9,1,-9,3,740,-9,371205.00,73100000,1,740,1,-9,0,1,605,0,1,5
1945,5,1,-9,1,255,-9,472605.00,69600000,1,255,1,-9,0,1,606,0,0,5
1946,4,652,1,-9,652,-9,184920.00,2978000,1,220,0,0,1,0,607,1,1,5
1946,8,660,1,-9,660,-9,10400.00,1156000,1,220,0,0,1,0,608,1,0,5
1946,3,663,1,-9,663,-9,89484.00,400000,1,200,0,0,1,0,609,1,0,5
1946,7,840,1,-9,840,-9,299404.00,18400000,1,2,0,0,1,0,610,1,0,5
1947,4,2,0,6,980,0,1779.00,47000,1,740,0,0,0,0,611,0,0,5
1947,2,220,1,3,325,1,1.00,.,0,325,1,1,0,0,612,0,1,5
